Rank,Shirt Number,Name,Team,Spikes,Faults,Shots,Total Attempts,Success %
1,12,Bruno Lima,ARG,177,50,98,325,54.46
2,10,Amir Ghafour,IRI,214,59,120,393,54.45
3,18,Ricardo Lucarelli Souza,BRA,173,54,91,318,54.4
4,10,Sharone Vernon-Evans,CAN,130,32,82,244,53.28
5,14,Yuki Ishikawa,JPN,170,40,112,322,52.8
6,15,Victor Poletaev,RUS,158,51,94,303,52.15
7,20,Gabriele Nelli,ITA,135,36,88,259,52.12
8,19,Tsvetan Sokolov,BUL,141,53,77,271,52.03
9,9,Yoandy Leal Hidalgo,BRA,161,58,99,318,50.63
10,11,Yuji Nishida,JPN,183,69,114,366,50
11,7,Stephen Timothy Maar,CAN,136,47,94,277,49.1
12,4,Jean Patry,FRA,148,66,91,305,48.52
13,7,Facundo Conte,ARG,138,49,101,288,47.92
14,13,Simon Hirsch,GER,170,55,131,356,47.75
15,18,Lincoln Alexander Williams,AUS,156,68,103,327,47.71
16,1,Christian Fromm,GER,133,40,108,281,47.33
17,8,Wallace De Souza,BRA,152,71,110,333,45.65
18,2,Milad Ebadipour Ghara H.,IRI,141,39,129,309,45.63
19,7,Marco Evan Baptista Ferreira,POR,145,67,106,318,45.6
20,2,Chuan Jiang,CHN,152,56,127,335,45.37
21,1,Qingyao Dai,CHN,88,24,82,194,45.36
22,6,Rozalin Penchev,BUL,107,46,84,237,45.15
23,6,Alexandre Ferreira,POR,139,58,111,308,45.13
24,15,Luke Smith,AUS,109,29,104,242,45.04
25,16,Oleg Antonov,ITA,113,55,86,254,44.49
26,7,Purya Fayazi D.,IRI,119,38,117,274,43.43
27,18,Garrett Muagututia,USA,119,49,108,276,43.12
28,5,Lazar Cirovic,SRB,100,41,99,240,41.67
29,2,Federico Pereyra,ARG,79,27,51,157,
30,3,Jan Martinez Franchi,ARG,38,12,35,85,
31,4,Maximiliano Cavanna,ARG,2,0,1,3,
32,5,Nicolas Uriarte,ARG,8,1,12,21,
33,6,Cristian Poglajen,ARG,59,23,60,142,
34,8,Agustin Loser,ARG,50,9,38,97,
35,11,Sebastian Solé,ARG,53,9,31,93,
36,13,Ezequiel Palacios,ARG,93,24,81,198,
