Rank,Shirt Number,Name,Team,Aces,Faults,Hits,Total Attempts,Average Per Set
111,10,Fedor Voronkov,RUS,5,22,64,91,0.07
112,9,Max Staples,AUS,4,10,43,57,0.07
113,24,Elliott Viles,AUS,4,7,28,39,0.07
114,1,Matthew Anderson,USA,5,22,55,82,0.07
115,7,Kawika Shoji,USA,5,7,30,42,0.07
116,17,Thomas Jaeschke,USA,5,11,27,43,0.07
117,3,Jan Martinez Franchi,ARG,4,14,25,43,0.07
118,6,Cristian Poglajen,ARG,4,21,76,101,0.07
119,4,Martin Atanasov,BUL,4,31,58,93,0.07
120,3,Naonobu Fujii,JPN,4,1,34,39,0.07
121,6,Fernando Gil Kreling,BRA,5,22,132,159,0.06
122,15,Aliasghar Mojarad,IRI,4,22,65,91,0.06
123,7,Kevin Tillie,FRA,4,9,101,114,0.06
124,8,Marcus Böhme,GER,4,22,34,60,0.06
125,16,Tomas Kocian-Falkenbach,GER,4,7,34,45,0.06
126,1,Aleksandar Okolic,SRB,4,6,111,121,0.06
127,7,Petar Krsmanovic,SRB,4,14,170,188,0.06
128,16,Drazen Luburic,SRB,4,17,43,64,0.06
129,21,Vuk Todorovic,SRB,4,10,87,101,0.06
130,24,David Mehic,SRB,4,12,25,41,0.06
131,10,Daoshuai Ji,CHN,3,6,34,43,0.06
132,12,Zhejia Zhang,CHN,3,11,39,53,0.06
133,3,Dmitry Kovalev,RUS,4,8,61,73,0.06
134,11,Igor Philippov,RUS,4,18,102,124,0.06
135,6,Mitchell Stahl,USA,4,15,60,79,0.06
136,22,Oreste Cavuto,ITA,3,24,76,103,0.05
137,2,Federico Pereyra,ARG,3,18,39,60,0.05
138,11,Sebastian Solé,ARG,3,9,132,144,0.05
139,7,Nikolay Uchikov,BUL,3,12,60,75,0.05
140,20,Aleks Grozdanov,BUL,3,13,53,69,0.05
141,2,Maciej Muzaj,POL,4,21,89,114,0.05
142,7,Artur Szalpuk,POL,4,3,54,61,0.05
143,11,Lukas Kampa,GER,3,6,17,26,0.05
144,20,Srecko Lisinac,SRB,3,10,43,56,0.05
145,3,Tianyi Mao,CHN,2,0,24,26,0.04
146,11,Haixiang Du,CHN,2,21,51,74,0.04
147,8,Wallace De Souza,BRA,3,25,152,180,0.04
148,3,Nuno Teixeira,POR,2,12,30,44,0.04
149,10,Phelipe Martins,POR,2,14,101,117,0.04
150,13,Caique Oswaldo Ferreira Da Silva,POR,2,6,62,70,0.04
151,3,Dawid Konarski,POL,3,17,44,64,0.04
152,5,Lukasz Kaczmarek,POL,3,18,88,109,0.04
153,13,Michal Kubiak,POL,3,5,20,28,0.04
154,19,Marcin Janusz,POL,3,4,61,68,0.04
155,21,Tomasz Fornal,POL,3,6,35,44,0.04
156,1,Davide Candellaro,ITA,2,6,50,58,0.04
157,22,Curtis Jeffrey Arthur Stockton,AUS,2,12,46,60,0.04
158,2,John Gordon Perrin,CAN,2,21,69,92,0.03
159,24,Adam Schriemer,CAN,2,0,9,11,0.03
160,15,Luciano De Cecco,ARG,2,13,72,87,0.03
161,17,Nicolas Mendez,ARG,2,10,25,37,0.03
162,1,Georgi Bratoev,BUL,2,7,52,61,0.03
163,12,Viktor Yosifov,BUL,2,3,28,33,0.03
164,5,Tatsuya Fukuzawa,JPN,2,17,57,76,0.03
165,14,Mohammadjavad Manavinezhad,IRI,2,17,24,43,0.03
166,21,Barthélémy Chinenyeze,FRA,2,14,132,148,0.03
167,20,Linus Weber,GER,2,7,10,19,0.03
168,9,Nikola Jovovic,SRB,2,2,58,62,0.03
169,2,Aaron Russell,USA,2,2,25,29,0.03
170,4,Jeffrey Jendryk Ii,USA,2,11,81,94,0.03
171,5,Kyle Ensing,USA,2,16,26,44,0.03
172,19,Taylor Averill,USA,2,7,22,31,0.03
173,30,George Huhmann,USA,2,14,24,40,0.03
174,1,Bruno Mossa Rezende,BRA,2,13,101,116,0.03
175,14,Douglas Correia De Souza,BRA,2,32,85,119,0.03
176,1,Piotr Nowakowski,POL,2,12,34,48,0.03
177,4,Marcin Komenda,POL,2,5,104,111,0.03
178,8,Tiago Da Silva Violas,POR,1,1,83,85,0.02
179,9,Joao Simoes,POR,1,5,49,55,0.02
180,8,Daniele Mazzone,ITA,1,4,27,32,0.02
181,12,Fabio Ricci,ITA,1,1,14,16,0.02
182,12,Nehemiah Mote,AUS,1,3,29,33,0.02
183,1,Tyler Sanders,CAN,1,2,16,19,0.02
184,5,Deanan Gyimah,CAN,1,8,14,23,0.02
185,9,Jason Derocco,CAN,1,11,62,74,0.02
186,20,Arthur Szwarc,CAN,1,30,56,87,0.02
187,14,Pablo Crer,ARG,1,9,73,83,0.02
188,2,Krasimir Georgiev,BUL,1,18,49,68,0.02
189,10,Valentin Bratoev,BUL,1,6,13,20,0.02
190,11,Velizar Chernokozhev,BUL,1,4,11,16,0.02
191,2,Hideomi Fukatsu,JPN,1,1,20,22,0.02
192,13,Naoya Takano,JPN,1,19,48,68,0.02
193,20,Porya Yali,IRI,1,6,48,55,0.02
194,24,Javad Karimisouchelmaei,IRI,1,7,8,16,0.02
195,14,Nicolas Le Goff,FRA,1,4,106,111,0.02
196,19,Yacine Louati,FRA,1,11,51,63,0.02
197,2,Tobias Krick,GER,1,7,51,59,0.02
198,12,Anton Brehme,GER,1,43,102,146,0.02
199,18,Jakob Günthör,GER,1,3,15,19,0.02
200,4,Nemanja Petric,SRB,1,7,17,25,0.02
201,11,Aleksa Batak,SRB,1,4,15,20,0.02
202,13,Stevan Simic,SRB,1,8,87,96,0.02
203,8,Anton Semyshev,RUS,1,6,17,24,0.01
204,13,Benjamin Patch,USA,1,15,86,102,0.01
205,16,Joshua Tuaniga,USA,1,11,33,45,0.01
206,25,Kyle Russell,USA,1,13,21,35,0.01
207,3,Eder Carbonera,BRA,1,0,2,3,0.01
208,12,Grzegorz Lomacz,POL,1,7,52,60,0.01
209,4,Maximiliano Cavanna,ARG,0,2,42,44,
210,18,Martin Ramos,ARG,0,10,104,114,
211,7,Harrison Peacock,AUS,0,3,32,35,
212,25,Jordan Colotti,AUS,0,0,2,2,
213,5,Lucas Eduardo Loh,BRA,0,0,6,6,
214,19,Mauricio Borges Almeida Silva,BRA,0,4,28,32,
215,20,Thiago Pontes Veloso,BRA,0,2,7,9,
216,14,Teodor Todorov,BUL,0,5,48,53,
217,17,Nikolay Penchev,BUL,0,19,44,63,
218,18,Nikolay Nikolov,BUL,0,5,18,23,
219,22,Vladimir Stankov,BUL,0,0,3,3,
220,25,Radoslav Parapunov,BUL,0,2,1,3,
